StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
The Harmony Marvels,Outlet Stores,29-08-2021,"PSC 9877  Box 6212
APO AE 99405",East Dawn,North Dakota,Vanuatu,East,Monique
The Vintage Nook,Outlet Stores,04-10-1982,"6894 Nathan Trafficway Apt. 370
New Jacob  PA 27885",Port Rebecca,Arizona,Nigeria,East,Kathryn
The Classy Marvels,MBO,09-01-1981,"Unit 7311 Box 2090
DPO AP 73166",New Alexander,Illinois,Dominican Republic,West,Katherine
The Dapper Treasures,Exclusive,08-08-2010,"2207 Romero Track Apt. 404
New Jacobborough  LA 31406",Jeffreyhaven,Utah,Lao People's Democratic Republic,East,Joe
The Harmony Nook,MBO,03-11-1996,"25782 Martin Junctions
Port Josephport  OH 48823",Kaitlynfort,Kansas,Lithuania,South,Rebekah
The Majestic Treasures,SMB,23-11-1996,"790 Paige Mill
Melissahaven  WY 51136",East Erin,Kansas,New Caledonia,North,Zachary
The Majestic Shoppe,Outlet Stores,08-03-1996,"6614 Eric Wells
East Alvin  DC 81093",Jacktown,Montana,Congo,South,Alexander
The Cozy Marvels,SMB,12-04-2009,"6611 Laura Vista Suite 975
New Patrickland  AS 59719",East Stacey,Arizona,United States of America,East,Nicole
The Timeless Vault,Exclusive,25-11-2006,"76636 Smith Tunnel Suite 285
Michaelborough  GU 19600",New Josephville,Kentucky,Ethiopia,West,Crystal
The Stylish Shop,MBO,06-09-2012,"514 Gregory Mill Apt. 593
Port Ronaldville  KY 80160",Anthonyborough,Oregon,Colombia,West,Darius
The Purely Finds,Exclusive,05-06-1975,"56111 Clark Neck Suite 647
West Christopher  NV 83585",West Erin,Ohio,Heard Island and McDonald Islands,South,Kelly
The Harmony Elegance,SMB,10-01-1970,"11956 Gary Haven Suite 407
Andersonport  NC 50708",New William,Alabama,Guam,North,Jaime
The Eclectic Oasis,MBO,04-12-2004,"92007 Ruiz Rue
Edwardfort  WY 68444",North Shawn,Utah,Bahamas,North,Stephanie
The Enchanted Emporium,Exclusive,12-08-2001,"550 Edwards Isle Apt. 199
East Christopher  MN 89704",Jessicaside,Florida,Costa Rica,West,Andrew
The Shimmer Merchant,Exclusive,24-11-1992,"4582 Short Center
New Karenfort  MS 30594",Schaefermouth,Michigan,Barbados,North,Troy
The Golden Elegance,SMB,05-10-2004,"467 Lara Union Suite 541
Amandachester  NE 35426",Whiteborough,West Virginia,Congo,South,Colleen
The Cozy Merchant,Exclusive,05-03-1972,"92917 Torres River
Port Charlesview  WY 93166",Grahamchester,Vermont,New Caledonia,West,Paul
